entryDate,entryContent
2023-03-03,The Atonement of Jesus Christ that has allowed me to have hope and become clean today
2023-03-02,"The angels in my apartment to help a stranger or perhaps a friend with a chronic condition

Being able to watch a video for class with my friends from class"
2023-03-01,Getting on my homework done
2023-02-28,"Improving grades
Being able to get a chapter of my textbook written into audio form and help me finish the chapter and the outline which I've struggled with since almost the beginning of the semester. (chapter outlines)"
2023-02-26,"God's love
Ward conference and the love and power there
Wonderful stake leaders
The increased power from God I've felt"
2023-02-25,Enough money to pay rent month to month
2023-02-24,God looking out for me today and really emphasizing His love and the love of my friends
2023-02-23,A loving Father in Heaven
2023-02-22,Helpful teachers
2023-02-21,Good friends
2023-02-20,Bishop Osorio's kindness
2023-02-19,"Finding more information for an ancestor and getting them closer to being able to go to the temple
Mom's help getting my homework done"
2023-02-18,"Getting some homework done, an assignment I'd been working through for a few days"
2023-02-17,My teacher's help getting me started on my homework
2023-02-16,A working elevator so I didn't have to take my bike on the stairs
2023-02-13,Time with the ward after struggling with homework
2023-02-12,"The Spirit that came from stake conference

Just enough laundry credit to wash and dry my important white clothing today"
2023-02-11,"I got out of work today and the bus came almost right after.

Stake Conference and the Spirit felt there
Getting back on track because of stake conference and the Spirit that was there

The temple
Inspiration"
2023-02-10,"A warm bus
My new computer
The opportunity to do homework at the library after work
The textbook I need in my backpack"
2023-02-09,Warm transportation home on a cold night
2023-02-08,The opportunity to serve at institute today
2023-02-07,Food from Mom I could have for dinner
2023-02-06,The Writing Center at UVU which helped me so much with my annotated bibliography
2023-02-05,Church
2023-02-04,"Free groceries from Grandpa
A new computer since my old one is struggling"
2023-02-03,Food from work
2023-02-02,Seeing my brother Sam at work today
2023-02-01,Teacher and classmate feedback on my signing (ASL)
2023-01-31,Time with my family because I was lonely and needed socializing
2023-01-30,"The Lord's mercy
Institute class today"
2023-01-29,The opportunity to help Sister Schomas preserve her photos
2023-01-28,"Mom bringing me dinner
Doing better on my interpreting homework than yesterday and in the past"
2023-01-27,My mom's support through really difficult times
2023-01-26,Catching the bus
2023-01-25,Serving at institute
2023-01-23,Getting groceries from Grandpa Zundel
2023-01-22,Mom and her help in getting my homework done
2023-01-21,Peace from God during a stressful time of homework
2023-01-20,The scriptures and the joy they bring!
2023-01-19,"A teacher helping me understand the material

Dinner available at home"
2023-01-18,"Again free food at my apartment

The institute building to find peace in and to do homework

The new book scanner at UVU library"
2023-01-17,Food in the apartment leasing office
2023-01-16,"FHE tonight, it was good to socialize after a long day fairly alone

I was also thankful to visit with Ben Williams today and invite him to FHE."
2023-01-15,Going to church and the feeling there
2023-01-14,"Working with good people

The temple and the joy I found after especially since I was fairly anxious before

Meeting a Deaf friend at Wendy's!"
2023-01-13,John 17 and the Spirit I feel studying Jesus’s prayer that is full of love.
2023-01-12,"Getting to serve Colin and have his groceries delivered
A stressful beginning to my day turning out well"
2023-01-11,"Having a good conversation with Kara Nosack (from my home ward) at the institute building
Going to the temple with Sam despite being a little late"
2023-01-10,"Food, a time to relax and play games with roommates"
2023-01-09,Being blessed with the increased ability to invite people to come into Christ in simple ways or at least an increased vision of what I am doing and can do
2023-01-08,This Sunday and the devotional with the Hollands. The Spirit was strong here.
2023-01-05,Recognizing that I needed to get off the bus after sitting there for a few seconds and being able to get off before it left to the next stop
2023-01-04,ASL Practice
2023-01-03,"The opportunity to serve in the temple today
ASL feedback from the Borns
A ride home from the Borns"
2023-01-02,More time with family in the morning and a little visit with Grandma and Grandpa Zundel and Hannah
2023-01-01,"Time with family
Inspired Father's blessing from Heaven"
2022-12-31,"Sam
Mom shopping for me and giving me groceries she paid for"
2022-12-30,"Family, good books, the Spirit bringing me joy and comfort"
2022-12-29,Rest at home and repentance
2022-12-28,"Help at work during busy times
The Orem library with good books"
2022-12-27,Being able to donate blood
2022-12-26,Food to take home from Christmas yesterday
2022-12-25,Time with family and thoughtful gifts
2022-12-24,Kind people at work on a crazy busy Saturday
2022-12-23,Going to Temple Square and making memories with my brother Sam
2022-12-22,Work after a long morning of sleeping in
2022-12-21,"Finding an appointment to do baptisms at the temple tonight

Being able to serve and baptize and confirm others in the temple"
2022-12-20,Going to the temple
2022-12-19,Putting together hygiene kits with my ward
2022-12-18,Church and the love and Spirit I felt in sacrament meeting
2022-12-17,Visting my family for a little bit
2022-12-15,The snow we've received on and off for days in a row
2022-12-14,Dinner from Mom
2022-12-12,"The UVU library with treats and activities for finals week

My computer camera that worked for a final exam when it has had problems starting up before and now that I returned to the library the webcam I had checked out"
2022-12-11,Ben Schreiner and the chance to bake with him today
2022-12-10,"Catching a bus to work
Friends who are supportive and willing to help

A chance to get some homework done today with a friend

Cristina, our manager, bringing us drinks. I got mint cocoa."
2022-12-09,Getting an assignment done this morning
2022-12-08,Leaving late yet being on time for work
2022-12-07,Institute and the joy that came from learning we are saved
2022-12-06,"Mom

Seeing my brother Will at school yesterday"
2022-12-05,Catching the bus just in time twice today and getting to work and home early as a result
2022-12-04,"The Spirit and the gift of forgiveness
Repentance
The First Presidency Christmas Devotional"
2022-12-03,Mom giving me extra money for groceries
2022-12-02,"Finding a sticker on someone's car, sending it to Mom, and finding out it really helped her

The joy I found in the Book of Mormon today

A visit with the missionaries

A warm bus ride home"
2022-12-01,"The effort I put into my homework
I got farther than I have in a while"
2022-11-30,"Mom's compliment of me being a Jesus lover

The stake institute class
Sleep"
2022-11-29,Waking up in time for institute
2022-11-28,Recorded family history audio
2022-11-27,Movie night with friends
2022-11-26,"Family, being with Grandma Grigg"
2022-11-25,Watching The Chosen in the movie theater with Grandma Grigg
2022-11-24,Thanksgiving in Idaho
